Array Length, Average Time
1000,1247
1050,135
1100,128
1150,124
1200,130
1250,202
1300,214
1350,223
1400,299
1450,260
1500,237
1550,303
1600,317
1650,118
1700,129
1750,119
1800,133
1850,123
1900,96
1950,104
2000,102
2050,107
2100,108
2150,111
2200,115
2250,118
2300,121
2350,124
2400,126
2450,155
2500,132
2550,135
2600,137
2650,140
2700,144
2750,211
2800,169
2850,153
2900,158
2950,159
3000,160
3050,167
3100,168
3150,162
3200,147
3250,146
3300,151
3350,154
3400,155
3450,155
3500,228
3550,163
3600,165
3650,170
3700,168
3750,170
3800,176
3850,210
3900,179
3950,184
4000,188
4050,206
4100,194
4150,198
4200,198
4250,202
4300,200
4350,207
4400,201
4450,219
4500,214
4550,214
4600,224
4650,222
4700,231
4750,235
4800,231
4850,240
4900,244
4950,242
5000,248
5050,247
5100,255
5150,261
5200,250
5250,265
5300,266
5350,273
5400,271
5450,286
5500,284
5550,286
5600,288
5650,297
5700,298
5750,297
5800,309
5850,310
5900,302
5950,313
6000,315
6050,320
6100,328
6150,329
6200,331
6250,329
6300,344
6350,343
6400,348
6450,349
6500,352
6550,433
6600,359
6650,378
6700,369
6750,372
6800,371
6850,382
6900,384
6950,392
7000,387
7050,394
7100,396
7150,394
7200,403
7250,412
7300,396
7350,416
7400,421
7450,416
7500,427
7550,431
7600,433
7650,436
7700,441
7750,440
7800,433
7850,442
7900,454
7950,455
8000,462
8050,471
8100,467
8150,475
8200,473
8250,488
8300,488
8350,492
8400,500
8450,553
8500,503
8550,502
8600,519
8650,512
8700,521
8750,514
8800,532
8850,531
8900,537
8950,537
9000,530
9050,555
9100,546
9150,579
9200,546
9250,549
9300,559
9350,555
9400,574
9450,575
9500,587
9550,585
9600,682
9650,769
9700,743
9750,608
9800,613
9850,612
9900,625
9950,622
10000,617
