Array Length, Average Time
1000,625
1050,181
1100,215
1150,251
1200,249
1250,273
1300,308
1350,278
1400,279
1450,310
1500,328
1550,178
1600,108
1650,119
1700,110
1750,123
1800,118
1850,91
1900,91
1950,94
2000,93
2050,97
2100,100
2150,103
2200,106
2250,108
2300,113
2350,114
2400,113
2450,116
2500,124
2550,124
2600,125
2650,187
2700,135
2750,134
2800,168
2850,140
2900,143
2950,144
3000,147
3050,226
3100,158
3150,150
3200,151
3250,152
3300,160
3350,158
3400,158
3450,161
3500,168
3550,171
3600,172
3650,179
3700,180
3750,181
3800,184
3850,187
3900,189
3950,195
4000,195
4050,216
4100,203
4150,204
4200,211
4250,209
4300,212
4350,219
4400,222
4450,219
4500,225
4550,229
4600,239
4650,237
4700,242
4750,241
4800,249
4850,253
4900,245
4950,258
5000,259
5050,261
5100,272
5150,274
5200,277
5250,279
5300,284
5350,284
5400,285
5450,291
5500,293
5550,293
5600,303
5650,316
5700,309
5750,314
5800,311
5850,314
5900,323
5950,329
6000,331
6050,344
6100,336
6150,347
6200,341
6250,364
6300,742
6350,675
6400,706
6450,505
6500,419
6550,426
6600,425
6650,435
6700,434
6750,419
6800,426
6850,418
6900,420
6950,426
7000,429
7050,408
7100,408
7150,412
7200,411
7250,426
7300,427
7350,423
7400,429
7450,488
7500,438
7550,442
7600,452
7650,454
7700,450
7750,466
7800,469
7850,460
7900,452
7950,496
8000,481
8050,476
8100,487
8150,511
8200,515
8250,497
8300,512
8350,510
8400,517
8450,510
8500,648
8550,524
8600,564
8650,547
8700,535
8750,550
8800,543
8850,550
8900,555
8950,553
9000,842
9050,561
9100,567
9150,567
9200,569
9250,569
9300,595
9350,651
9400,852
9450,607
9500,600
9550,601
9600,601
9650,615
9700,620
9750,628
9800,660
9850,899
9900,633
9950,634
10000,661
