Array Length, Average Time
1000,1300
1050,127
1100,73
1150,89
1200,137
1250,165
1300,143
1350,125
1400,106
1450,166
1500,153
1550,148
1600,177
1650,184
1700,198
1750,196
1800,205
1850,195
1900,32
1950,31
2000,31
2050,31
2100,33
2150,34
2200,36
2250,37
2300,38
2350,40
2400,41
2450,73
2500,45
2550,45
2600,47
2650,78
2700,50
2750,75
2800,52
2850,53
2900,55
2950,55
3000,57
3050,59
3100,58
3150,59
3200,91
3250,85
3300,89
3350,146
3400,99
3450,151
3500,65
3550,72
3600,107
3650,99
3700,113
3750,113
3800,116
3850,112
3900,112
3950,115
4000,118
4050,121
4100,112
4150,121
4200,120
4250,116
4300,130
4350,132
4400,135
4450,137
4500,141
4550,145
4600,144
4650,150
4700,140
4750,127
4800,110
4850,106
4900,61
4950,62
5000,62
5050,64
5100,64
5150,65
5200,65
5250,72
5300,69
5350,69
5400,69
5450,83
5500,71
5550,74
5600,73
5650,73
5700,75
5750,75
5800,77
5850,78
5900,79
5950,140
6000,81
6050,118
6100,82
6150,82
6200,82
6250,83
6300,84
6350,84
6400,84
6450,85
6500,86
6550,87
6600,86
6650,87
6700,2753
6750,94
6800,90
6850,90
6900,90
6950,91
7000,91
7050,91
7100,92
7150,92
7200,166
7250,154
7300,111
7350,97
7400,95
7450,94
7500,95
7550,96
7600,96
7650,98
7700,98
7750,99
7800,99
7850,99
7900,101
7950,99
8000,101
8050,101
8100,101
8150,102
8200,102
8250,103
8300,104
8350,105
8400,106
8450,106
8500,107
8550,108
8600,109
8650,110
8700,110
8750,112
8800,112
8850,113
8900,114
8950,115
9000,115
9050,116
9100,116
9150,158
9200,119
9250,118
9300,120
9350,119
9400,121
9450,122
9500,138
9550,247
9600,173
9650,125
9700,127
9750,205
9800,183
9850,129
9900,130
9950,131
10000,131
