Array Length, Average Time
1000,752
1050,204
1100,224
1150,160
1200,148
1250,152
1300,153
1350,164
1400,171
1450,179
1500,195
1550,204
1600,207
1650,208
1700,217
1750,178
1800,88
1850,90
1900,92
1950,94
2000,93
2050,97
2100,99
2150,103
2200,107
2250,107
2300,110
2350,112
2400,117
2450,117
2500,128
2550,127
2600,128
2650,188
2700,135
2750,205
2800,198
2850,141
2900,143
2950,182
3000,148
3050,152
3100,154
3150,157
3200,157
3250,162
3300,163
3350,174
3400,159
3450,160
3500,163
3550,169
3600,176
3650,175
3700,177
3750,180
3800,178
3850,184
3900,192
3950,189
4000,205
4050,198
4100,196
4150,207
4200,214
4250,210
4300,207
4350,216
4400,223
4450,222
4500,224
4550,226
4600,231
4650,234
4700,234
4750,235
4800,250
4850,245
4900,248
4950,255
5000,264
5050,263
5100,260
5150,273
5200,332
5250,318
5300,318
5350,322
5400,332
5450,342
5500,325
5550,333
5600,348
5650,352
5700,473
5750,444
5800,347
5850,352
5900,346
5950,347
6000,354
6050,362
6100,333
6150,342
6200,338
6250,343
6300,344
6350,360
6400,366
6450,361
6500,360
6550,372
6600,380
6650,410
6700,400
6750,405
6800,388
6850,395
6900,413
6950,396
7000,404
7050,408
7100,411
7150,415
7200,426
7250,458
7300,507
7350,432
7400,439
7450,431
7500,440
7550,444
7600,452
7650,443
7700,450
7750,443
7800,451
7850,479
7900,470
7950,476
8000,483
8050,478
8100,481
8150,492
8200,492
8250,498
8300,499
8350,502
8400,653
8450,517
8500,516
8550,514
8600,524
8650,546
8700,542
8750,541
8800,544
8850,559
8900,558
8950,563
9000,561
9050,586
9100,566
9150,566
9200,565
9250,576
9300,578
9350,591
9400,593
9450,600
9500,595
9550,606
9600,603
9650,661
9700,622
9750,631
9800,639
9850,624
9900,660
9950,638
10000,626
