Array Length, Average Time
1000,651
1050,181
1100,141
1150,132
1200,139
1250,227
1300,292
1350,321
1400,315
1450,317
1500,354
1550,356
1600,178
1650,120
1700,118
1750,122
1800,126
1850,90
1900,104
1950,94
2000,94
2050,101
2100,102
2150,103
2200,106
2250,110
2300,113
2350,114
2400,117
2450,121
2500,121
2550,124
2600,126
2650,183
2700,193
2750,138
2800,170
2850,158
2900,146
2950,141
3000,140
3050,143
3100,147
3150,198
3200,157
3250,172
3300,172
3350,220
3400,175
3450,164
3500,165
3550,169
3600,172
3650,176
3700,185
3750,180
3800,184
3850,187
3900,190
3950,194
4000,197
4050,205
4100,201
4150,207
4200,207
4250,211
4300,212
4350,217
4400,222
4450,216
4500,228
4550,227
4600,230
4650,235
4700,238
4750,238
4800,252
4850,253
4900,255
4950,255
5000,261
5050,261
5100,269
5150,269
5200,268
5250,283
5300,281
5350,291
5400,286
5450,303
5500,370
5550,302
5600,306
5650,299
5700,308
5750,306
5800,327
5850,317
5900,330
5950,335
6000,336
6050,330
6100,336
6150,346
6200,342
6250,344
6300,353
6350,362
6400,365
6450,362
6500,363
6550,370
6600,382
6650,389
6700,382
6750,414
6800,387
6850,389
6900,399
6950,404
7000,418
7050,402
7100,413
7150,418
7200,413
7250,429
7300,428
7350,427
7400,435
7450,428
7500,433
7550,444
7600,444
7650,445
7700,461
7750,474
7800,466
7850,466
7900,465
7950,468
8000,481
8050,482
8100,482
8150,495
8200,510
8250,508
8300,516
8350,516
8400,506
8450,516
8500,503
8550,583
8600,529
8650,537
8700,551
8750,548
8800,556
8850,581
8900,838
8950,555
9000,571
9050,567
9100,565
9150,577
9200,573
9250,582
9300,582
9350,601
9400,599
9450,601
9500,601
9550,600
9600,606
9650,632
9700,606
9750,616
9800,621
9850,629
9900,644
9950,664
10000,642
