Array Length, Average Time
1000,960
1050,266
1100,236
1150,237
1200,315
1250,162
1300,179
1350,172
1400,177
1450,187
1500,200
1550,196
1600,203
1650,226
1700,223
1750,136
1800,86
1850,94
1900,93
1950,133
2000,97
2050,98
2100,103
2150,106
2200,107
2250,109
2300,116
2350,117
2400,120
2450,142
2500,123
2550,128
2600,127
2650,202
2700,135
2750,139
2800,175
2850,143
2900,145
2950,146
3000,150
3050,152
3100,155
3150,159
3200,162
3250,169
3300,182
3350,158
3400,163
3450,165
3500,167
3550,175
3600,169
3650,176
3700,179
3750,181
3800,184
3850,186
3900,241
3950,192
4000,204
4050,222
4100,200
4150,275
4200,210
4250,211
4300,216
4350,217
4400,218
4450,225
4500,225
4550,223
4600,236
4650,237
4700,241
4750,254
4800,247
4850,249
4900,252
4950,261
5000,260
5050,265
5100,266
5150,274
5200,273
5250,276
5300,284
5350,287
5400,294
5450,299
5500,298
5550,300
5600,300
5650,306
5700,314
5750,314
5800,311
5850,325
5900,321
5950,327
6000,336
6050,335
6100,339
6150,355
6200,360
6250,346
6300,451
6350,391
6400,379
6450,397
6500,394
6550,394
6600,411
6650,379
6700,383
6750,387
6800,387
6850,395
6900,399
6950,467
7000,443
7050,436
7100,410
7150,415
7200,425
7250,426
7300,433
7350,435
7400,435
7450,442
7500,438
7550,461
7600,440
7650,490
7700,465
7750,458
7800,473
7850,474
7900,481
7950,485
8000,488
8050,493
8100,489
8150,498
8200,496
8250,503
8300,511
8350,523
8400,514
8450,517
8500,531
8550,536
8600,531
8650,528
8700,540
8750,547
8800,553
8850,561
8900,553
8950,579
9000,557
9050,568
9100,570
9150,574
9200,571
9250,604
9300,588
9350,593
9400,609
9450,616
9500,594
9550,615
9600,614
9650,610
9700,620
9750,619
9800,621
9850,636
9900,635
9950,647
10000,665
